YEAR,MONTH,DAY,PERIOD,Name,1,2,3,4,5,6,7,8,9,10
2018,7,1,1,STAN-2,180,20.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,0
2018,7,1,1,STAN-3,180,37,21,21,21,21,21,21,21,0
2018,7,1,1,STAN-4,180,25,21,21,21,21,21,21,21,0
2018,7,1,1,TARONG#1,175,30,20,20,20,20,20,20,20,0
2018,7,1,1,TARONG#2,175,28,20,20,20,20,20,20,20,0
2018,7,1,1,TARONG#3,175,5,24,24,24,24,24,24,24,0
2018,7,1,1,TARONG#4,175,33,20,20,20,20,20,20,20,0
2018,7,1,1,TNPS1,220,46,25,25,25,25,25,25,25,0
2018,7,1,1,LOYYB1,240,80,31,31,31,31,31,31,31,0
2018,7,1,1,LOYYB2,240,81,31,31,31,31,31,31,31,0
2018,7,1,1,LYA1,420,28,16,16,16,16,16,16,16,0
2018,7,1,1,LYA2,397.5,26.5,15.14285714,15.14285714,15.14285714,15.14285714,15.14285714,15.14285714,15.14285714,0
2018,7,1,1,LYA3,420,28,16,16,16,16,16,16,16,0
2018,7,1,1,LYA4,420,28,16,16,16,16,16,16,16,0
2018,7,1,1,YWPS1,216,19,18,18,18,18,18,18,18,0
2018,7,1,1,YWPS2,216,19,17,17,17,17,17,17,17,0
